name,prompt,negative_prompt
d3 ea 20 6,"(photorealistic), (realistic), volumetric lighting, silky_hair, (straight hair), blush, (green eyes), (detailed_eyes), extremely detailed illustration of a japanese girl, young, underage black hair, wearing running shoes, standing on a grass field, cowboy shot, contrapposto, looking at viewer, highres, superb, 8k wallpaper, extremely detailed, intricate, soft lighting, 4k, smooth lighting, 8k, depth of field, masterpiece, smooth focus, hyper detailed, detailed eyes, eyes focus, (mid shot:1.25), (portrait:1.25), (solo:1.2), (beautiful face:1.15) cute_style rfktr_bwmnga","bad anatomy, watermarks, text, signature, blur, messy, low quality, sketch by bad-artist, bad-image-v2-39000"
3d2,"(photorealistic), (realistic), volumetric lighting, silky_hair, (straight hair), blush, (green eyes), (detailed_eyes), extremely detailed illustration of a japanese girl, young, underage black hair, wearing running shoes, standing on a grass field, cowboy shot, contrapposto, looking at viewer, highres, superb, 8k wallpaper, extremely detailed, intricate, soft lighting, 4k, smooth lighting, 8k, depth of field, masterpiece, smooth focus, hyper detailed, detailed eyes, eyes focus, (mid shot:1.25), (portrait:1.25), (solo:1.2), (beautiful face:1.15) cute_style rfktr_bwmnga","bad anatomy, watermarks, text, signature, blur, messy, low quality, sketch by bad-artist, bad-image-v2-39000"
坐姿,"(((child,very young,loli,cute,loli face))),masterpiece,((best quality)),extremely detailed,Illustration,(an extremely delicate and beautiful),(ultra_detailed), Sketch,
full body,(solo),(((an extremely delicate and beautiful girl is sitting on the public seats inside of snow garden))) with Pine,(vampire),loli,((extremely detailed eyes and face)) with (((gold long hair))) with (flutter hair) with (headdress) with (expressionless) with (((red jacket))) with tiny breasts,
(a castle in the background), snowing ,(night) , (street lump),Frozen fountain. beautiful sky with nebula and meteor.
","bad face, bad anatomy, bad proportions, bad perspective, multiple views, concept art, reference sheet, mutated hands and fingers, interlocked fingers, twisted fingers, excessively bent fingers, more than five fingers, lowres, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry, artist name, low quality lowres multiple breasts, low quality lowres mutated hands and fingers, more than two arms, more than two hands, more than two legs, more than two feet, low quality lowres long body, low quality lowres mutation poorly drawn, low quality lowres black-white, low quality lowres bad anatomy, low quality lowres liquid body, low quality lowres liquid tongue, low quality lowres disfigured, low quality lowres malformed, low quality lowres mutated, low quality lowres anatomical nonsense, low quality lowres text font ui, low quality lowres error, low quality lowres malformed hands, low quality lowres long neck, low quality lowres blurred, low quality lowres lowers, low quality lowres low res, low quality lowres bad proportions, low quality lowres bad shadow, low quality lowres uncoordinated body, low quality lowres unnatural body, low quality lowres fused breasts, low quality lowres bad breasts, low quality lowres huge breasts, low quality lowres poorly drawn breasts, low quality lowres extra breasts, low quality lowres liquid breasts, low quality lowres heavy breasts, low quality lowres missing breasts, low quality lowres huge haunch, low quality lowres huge thighs, low quality lowres huge calf, low quality lowres bad hands, low quality lowres fused hand, low quality lowres missing hand, low quality lowres disappearing arms, low quality lowres disappearing thigh, low quality lowres disappearing calf, low quality lowres disappearing legs, low quality lowres fused ears, low quality lowres bad ears, low quality lowres poorly drawn ears, low quality lowres extra ears, low quality lowres liquid ears, low quality lowres heavy ears, low quality lowres missing ears, low quality lowres fused animal ears, low quality lowres bad animal ears, low quality lowres poorly drawn animal ears, low quality lowres extra animal ears, low quality lowres liquid animal ears, low quality lowres heavy animal ears, low quality lowres missing animal ears, low quality lowres text, low quality lowres ui, low quality lowres missing fingers, low quality lowres missing limb, low quality lowres fused fingers, low quality lowres one hand with more than 5 fingers, low quality lowres one hand with less than 5 fingers, low quality lowres one hand with more than 5 digit, low quality lowres one hand with less than 5 digit, low quality lowres extra digit, low quality lowres fewer digits, low quality lowres fused digit, low quality lowres missing digit, low quality lowres bad digit, low quality lowres liquid digit, low quality lowres colorful tongue, low quality lowres black tongue, low quality lowres cropped, low quality lowres watermark, low quality lowres username, low quality lowres blurry, low quality lowres JPEG artifacts, low quality lowres signature, low quality lowres 3D, low quality lowres 3D game, low quality lowres 3D game scene, low quality lowres 3D character, low quality lowres malformed feet, low quality lowres extra feet, low quality lowres bad feet, low quality lowres poorly drawn feet, low quality lowres fused feet, low quality lowres missing feet, low quality lowres extra shoes, low quality lowres bad shoes, low quality lowres fused shoes, low quality lowres more than two shoes, low quality lowres poorly drawn shoes, low quality lowres bad gloves, low quality lowres poorly drawn gloves, low quality lowres fused gloves, low quality lowres bad cum, low quality lowres poorly drawn cum, low quality lowres fused cum, low quality lowres bad hairs, low quality lowres poorly drawn hairs, low quality lowres fused hairs, low quality lowres big muscles, low quality lowres ugly, low quality lowres bad face, low quality lowres fused face, low quality lowres poorly drawn face, low quality lowres cloned face, low quality lowres big face, low quality lowres long face, low quality lowres bad eyes, low quality lowres fused eyes poorly drawn eyes, low quality lowres extra eyes, low quality lowres malformed limbs, low quality lowres more than 2 nipples, low quality lowres missing nipples, low quality lowres different nipples, low quality lowres fused nipples, low quality lowres bad nipples, low quality lowres poorly drawn nipples, low quality lowres black nipples, low quality lowres colorful nipples, low quality lowres gross proportions, short arm, low quality lowres missing arms, low quality lowres missing thighs, low quality lowres missing calf, low quality lowres missing legs, low quality lowres mutation, low quality lowres duplicate, low quality lowres morbid, low quality lowres mutilated, low quality lowres poorly drawn hands, low quality lowres more than 1 left hand, low quality lowres more than 1 right hand, low quality lowres deformed, low quality lowres extra arms, low quality lowres extra thighs, low quality lowres more than 2 thighs, low quality lowres extra calf, low quality lowres fused calf, low quality lowres extra legs, low quality lowres bad knee, low quality lowres extra knee, low quality lowres more than 2 legs, low quality lowres bad tails, low quality lowres bad mouth, low quality lowres fused mouth, low quality lowres poorly drawn mouth, low quality lowres bad tongue, low quality lowres tongue within mouth, low quality lowres too long tongue, low quality lowres big mouth, low quality lowres cracked mouth, low quality lowres dirty face, low quality lowres dirty teeth, low quality lowres dirty pantie, low quality lowres fused pantie, low quality lowres poorly drawn pantie, low quality lowres fused cloth, low quality lowres poorly drawn cloth, low quality lowres bad pantie, low quality lowres yellow teeth, low quality lowres thick lips, low quality lowres bad asshole, low quality lowres poorly drawn asshole, low quality lowres fused asshole, low quality lowres missing asshole, low quality lowres bad anus, low quality lowres bad pussy, low quality lowres bad crotch, low quality lowres bad crotch seam, low quality lowres fused anus, low quality lowres fused pussy, low quality lowres fused crotch, low quality lowres poorly drawn crotch, low quality lowres fused seam, low quality lowres poorly drawn anus, low quality lowres poorly drawn pussy, low quality lowres poorly drawn crotch seam, low quality lowres bad thigh gap, low quality lowres missing thigh gap, low quality lowres fused thigh gap, low quality lowres liquid thigh gap, low quality lowres poorly drawn thigh gap, low quality lowres bad collarbone, low quality lowres fused collarbone, low quality lowres missing collarbone, low quality lowres liquid collarbone, low quality lowres strong girl, low quality lowres obesity, low quality lowres worst quality, low quality lowres low quality, low quality lowres normal quality, low quality lowres liquid tentacles, low quality lowres bad tentacles, low quality lowres poorly drawn tentacles, low quality lowres split tentacles, low quality lowres fused tentacles, low quality lowres missing clit, low quality lowres bad clit, low quality lowres fused clit, low quality lowres colorful clit, low quality lowres black clit, low quality lowres liquid clit, low quality lowres QR code, low quality lowres bar code, low quality lowres censored, low quality lowres safety panties, low quality lowres safety knickers, low quality lowres beard, low quality lowres furry, pony, low quality lowres pubic hair, low quality lowres mosaic, low quality lowres excrement, low quality lowres shit, low quality lowres futa, low quality lowres testis, low quality lowres lowres, low quality lowres terrible, low quality lowres dirty, low quality lowres feces, low quality lowres organs, low quality lowres fat, low quality lowres thick thighs, low quality lowres low resolution rough, low quality lowres pedophile, low quality lowres bestiality, low quality lowres parody, low quality lowres traditional media, low quality lowres koma, low quality lowres comic, low quality lowres scary, low quality lowres severe, low quality lowres insects, low quality lowres gross scars, low quality lowres twisted human body, low quality lowres irrational human body, low quality lowres sharp fingers, low quality lowres parts of the body out of common sense, low quality lowres murder, low quality lowres beheading, low quality lowres zombie, low quality lowres mummy, low quality lowres graffiti, low quality lowres unfinished picture, low quality lowres terrible quality, low quality lowres Coprophilia, low quality lowres muscular, low quality lowres bald, low quality lowres monk, low quality lowres wrinkly, low quality lowres simple background, low quality lowres realistic, low quality lowres old, low quality lowres scan, low quality lowres touhou, low quality lowres yaoi, low quality lowres gay, low quality lowres femboy, low quality lowres trap, low quality lowres pee, low quality lowres doujinshi, low quality lowres monochrome, low quality lowres meme, low quality lowres demon, low quality lowres monstrous creature, low quality lowres tentacle, low quality lowres self harm, low quality lowres vomit, low quality lowres suicide, low quality lowres death, low quality lowres corpse, low quality lowres bone, low quality lowres skeleton, low quality lowres fingers over 6, low quality lowres framed, low quality lowres historical picture, low quality lowres futanari, low quality lowres shemale, low quality lowres transgender, low quality lowres dick girl, low quality lowres flat breasts, low quality lowres degenerate ass, low quality lowres retro artstyle, low quality lowres anime screencap, low quality lowres stitched, low quality lowres pokemon, low quality lowres ryona, low quality lowres animal, low quality lowres male focus, low quality lowres nipple penetration, low quality lowres sonic \(series\), low quality lowres bondage, low quality lowres bdsm, low quality lowres 2D, low quality lowres 2D game, low quality lowres 2D game scene, low quality lowres 2D character, low quality lowres game cg, low quality lowres watercolor \(medium\), low quality lowres 2koma, low quality lowres interlocked fingers, low quality lowres gloves, low quality lowres nitroplus, low quality lowres grayscale, low quality lowres sketch, low quality lowres line drawing, low quality lowres gorilla, low quality lowres meat, low quality lowres gundam, low quality lowres multiple views, low quality lowres cut, low quality lowres concept art, low quality lowres reference sheet, low quality lowres turnaround, low quality lowres chart, low quality lowres comparison, low quality lowres artist progress, low quality lowres lineup, low quality lowres before and after, low quality lowres orc, low quality lowres tusks, low quality lowres goblin, low quality lowres kobold, low quality lowres pony, low quality lowres nsfw, low quality lowres Humpbacked, low quality lowres text error, low quality lowres extra digits, low quality lowres standard quality, low quality lowres large breasts, low quality lowres shadow, low quality lowres nude, low quality lowres artist name, low quality lowres skeleton girl, low quality lowres bad legs, low quality lowres missing fingers, low quality lowres extra digit, low quality lowres artifacts, low quality lowres bad body, low quality lowres optical illusion, low quality lowres Glasses, low quality lowres girl, low quality lowres women, low quality lowres more than 1 moon, low quality lowres Multi foot, low quality lowres Multifold, low quality lowres Multi fingering, low quality lowres colored sclera, low quality lowres monster girl, low quality lowres Black hands, low quality lowres The background is incoherent, low quality lowres abnormal eye proportion, low quality lowres Abnormal hands, low quality lowres abnormal legs, low quality lowres abnormal feet abnormal fingers, low quality lowres sharp face, low quality lowres tranny, low quality lowres mutated hands, low quality lowres extra limbs, low quality lowres too many fingers, low quality lowres unclear eyes, low quality lowres bad, low quality lowres mutated hand and finger, low quality lowres malformed mutated, low quality lowres broken limb, low quality lowres incorrect limb, low quality lowres fusion finger, low quality lowres lose finger, low quality lowres multiple finger, low quality lowres multiple digit, low quality lowres fusion hand, low quality lowres lose leg, low quality lowres fused leg, low quality lowres multiple leg, low quality lowres bad cameltoe, low quality lowres colorful cameltoe, low quality lowres low polygon 3D game, (over three finger\(fingers excluding thumb\):2), (fused anatomy), (bad anatomy\(body\)), (bad anatomy\(hand\)), (bad anatomy\(finger\)), (over four fingers\(finger\):2), (bad anatomy\(arms\)), (over two arms\(body\)), (bad anatomy\(leg\)), (over two legs\(body\)), (interrupted\(body, arm, leg, finger, toe\)), (bad anatomy\(arm\)), (bad detail\(finger\):1.2), (bad anatomy\(fingers\):1.2), (multiple\(fingers\):1.2), (bad anatomy\(finger\):1.2), (bad anatomy\(fingers\):1.2), (fused\(fingers\):1.2), (over four fingers\(finger\):2), (multiple\(hands\)), (multiple\(arms\)), (multiple\(legs\)), (over three toes\(toes excluding big toe\):2), (bad anatomy\(foot\)), (bad anatomy\(toe\)), (over four toes\(toe\):2), (bad detail\(toe\):1.2), (bad anatomy\(toes\):1.2), (multiple\(toes\):1.2), (bad anatomy\(toe\):1.2), (bad anatomy\(toes\):1.2), (fused\(toes\):1.2), (over four toes\(toe\):2), (multiple\(feet\))，under wear,under pants
"
水墨,"((((full body))))), (((((best detailed girl))))), (((1girl))), ((((black hair)))), (solo), ((extremely detailed)), ((detailed face)), ((((ink painting)))), illustration, ((Chinese ink painting)), (((masterpiece))), (((best quality))), ((((Ink dyeing)))), (((Watercolor))), ((Chinese Brush Painting)), (((extremely delicate and beautiful girls)))), ultra-detailed, (((beautiful detailed eyes))), (cheongsam), (Chinese style),((red ink)), smile, ink background, long hair,  beautiful detailed eyes, beautiful detailed hair, petals, (((soaked))),  ((((floating hair)))) ,(((The character is in the center of the frame))),(((flowing))) 作者：元素法典制作委员会 https://www.bilibili.com/read/cv19411021 出处：bilibili","Inverted mountain, low-quality, flowers, grass, distorted mountain, distorted light, low-quality light, low-quality mountain, low-quality illustration, low-quality background, nsfw, owres, bad anatomy,(((ugly))),(((duplicate))),((morbid)),((mutilated)),(((tranny))),mutated hands,(((poorly drawn hands))),blurry,((bad anatomy)),(((bad proportions))),extra limbs, cloned face,(((disfigured))),(((more than 2 nipples))),((((missing arms)))),(((extra legs))),mutated hands,(((((fused fingers))))),(((((too many fingers))))),(((unclear eyes))),lowers, bad anatomy, bad hands,text,error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality,jpeg artifacts, signature, watermark, username, blurry, bad feet, text font ui,malformed hands, long neck, missing limb,(mutated hand and finger: 1.5),(long body: 1.3),(mutation poorly drawn: 1.2), disfigured, malformed mutated, multiple breasts, futa, yaoi 作者：元素法典制作委员会 https://www.bilibili.com/read/cv19411021 出处：bilibili"
通用," (ha_klee),original, (masterpiece), (illustration), (extremely fine and beautiful), perfect detailed, photorealistic, (beautiful and clear background:1.25), (depth of field:0.7), (cute:1.35), (detailed beautiful eyes:1.3), (beautiful face:1.3), casual, hair blowing with the wind,flowers, (loli), butterflys flying around","(3 cat ear),(poorly drawn hands), (poorly drawn face), (((fat))), ((cropped)), ((fused fingers)), ((too many fingers)), (malformed limbs), (((bad anatomy))), ((ugly)), out of frame, blurry, gross propotions, distorted face, distorted body, ((distorted fingers)), missing leg, more than 2 leg, more than 2 feet, more than 2 arms, text, ui, signature, icon, watermark, misplaced limbs, leg too big, leg too small, fused hands, fused arms, distorted backgroud, fused buildings, ((finger too short)), more than 1 right hand, more than 1 left hand, wrong direction of limbs, wrong direction of legs, wrong direction of feet, misplaced facial features, unbalanced facial features, ((body too long)), ((arm too short)), (poorly drawn joint), misplaced joint, wrong joint angle, disappearing legs, disappearing arms, disappearing limbs, ((fused limbs)), ((fused thighs)), thumb too long, fingers too long, missing hands, missing arms, no face, wrong angle of upper and lower body, ((misplaced animal tail)), ((malformed animal tail)), poorly drawn animal tail, less than 2 ears, ((more than 2 ears)), ((more than 2 animal ears)), ((one arm longer than another)), ((missing palm)), ((palm disappeared)), sharp fingers, ((two eyes in different size)), hair fused with items, weird ears, weird animal ears, weird fingers, weird hands, weird limbs, weird arms, weird legs, weird thighs, thin wrist, more than 2 eyes, malformed eyes, misplaced eyes, strange animal "
春节,"(an extremely delicate and beautiful),((masterpiece)), (((best quality))), ((ultra-detailed)), ((illustration)),((solo)),((((loli)))),cute face,(beautiful detailed girl),(((cheongsam
))),((((((arms_behind_back)))))) ,red eyes,((((beautiful detailed eyes)))),white hair,spring festival,(((chinese new year))),(((snow))),((lunar new year)),firecracker,Temple Fair,((busy street)),(detailed fireworks), finely detail,(firecracker),((the best building)),(((best shadow))),many people,(Flying snowflakes) ","lowres, bad anatomy, bad legs,bad hands, text,error, missing fngers,extra digt ,fewer digits,cropped, wort quality ,low quality,normal quality, jpeg,artifacts,signature,watermark, username, blurry, bad feet,artist name,bad anatomy,bad hands,bad body,bad proportions，worst quality,low quality，optical_illusion"
国风,"((masterpiece)), ((best quality)), ((official art)), (extremely detailed CG unity 8k wallpaper), ((highly detailed)), ((illustration)), traditional chinese painting,((Chinese wind)),((a girl)), (single), staring, fairy,hair_ornament, earrings, jewelry, (very long hair), (messy_hair), bare shoulders, ribbon,hairs between eyes, beautiful detailed sky,full body,close-up,arms behind back,Taoist robe, thighs, aloft, mist-shrouded,chinadre,overexposure,[wet clothes],medium breast,solo,[doll],Bare thigh,incredibly_absurdres,intense angle ,pleated dress,chinese style architecture,single hair bun,white_hair,red_eyes,sideways glance,cold attitude,eyeshadow,eyeliner,eyes visible through hair,no shoes,ribbon-trimmed sleeves,earrings,necklace,tiara,medium_breasts,sunlight,reflection light,ray tracing,loli,Phoenix crown and rosy robe,blush","simple background, vague, lowres, bad anatomy, bad hands, extra fingers, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry,missing fingers,bad hands,missing arms, long neck, large breasts,cropped,poorly drawn hands,poorly drawn face,mutation,deformed,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark"
音乐会,"((masterpiece)), (((best quality))), ((ultra-detailed)), ((illustration)), A lot of waving glow sticks,Stage,Concert,(solo),1 girl,((singing)),headset,(leaning_forward:1.2),(arms_behind_back),((extremely_detailed_eyes_and_face)),colorful,,Tokyo Dome,ray tracing,(disheveled hair),cherry_blossoms,petals,Flying notes ","lowres,bad anatomy,bad hands,text,error,missing fingers,extra digit,fewer digits,cropped,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,username,blurry,missing fingers,bad hands,missing arms,"
R18萝莉,"((masterpiece)), (((best quality))), ((ultra-detailed)), ((illustration)), A lot of waving glow sticks,Stage,Concert,(solo),(((loli))),little girl,very shy,(((wear nothing,flat breasts,bared,small_nipples, shaved_pussy,wide_hips,little girl pussy,mound_of_venus))),((beatiful and detailed face,beatiful and detailed eyes)),thin,headset,(very long hair,colorful hair),detailed skin,(arms_behind_back),((extremely_detailed_eyes_and_face)),colorful,Tokyo Dome,ray tracing,(disheveled hair),cherry_blossoms,flying petals,","An incomplete face,A contorted face,hand,lowres,bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry,missing fingers,bad hands, long neck, Humpbacked,extra legs ,under pants"
太极,"(masterpiece,best quality,extremely detailed CG unity 8k wallpaper,ultra-detailed),(best illumination,best shadow,an extremely delicate and beautiful),ink_wash_painting,night,(tai_chi:1.25),(yin_yang:0.85),ba gua,swirl,(the_bottom_of_the_bottlebackground:1.1),(1_girl:1.2),solo,The character is in the center of the frame,medium_full_shot,hanfu,taoist_robes,celestial_being_uniform,long_hair,(alternate hair color:1.3),white hair,black hair,a small red ornament,beautiful_detailed_eyes,indigo_eyes,(girl_surrounded_by_floating_water_flow:1.3),medium_breasts,wind,lotus,(cloudy:1.1),(stratocumulus_stratiformis:1.35),looking_at_viewers,cowboy shot
","lowres,bad anatomy,bad hands,text,error,missing fingers,extra digit,fewer digits,cropped,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,username,blurry,missing fingers,bad hands,missing arms,
"
